1,-28194.447,206903.621,1774.606,polarpunkte mit PP aus frei Stat.
2,-28277.101,206991.384,1667.948,
3,-28334.091,206924.342,1690.427,
4,-28380.500,206889.839,1696.883,
5,-28308.919,206869.164,1754.188,
6,-28336.577,206824.298,1763.864,
7,-28325.080,206808.040,1770.578,neu
8,-28279.832,206820.141,1796.256,
9,-28242.213,206847.777,1815.777,
201,-29819.414,208233.175,1528.962,neu polar
202,-29802.356,208255.441,1525.813,neu polar
203,-29772.190,208297.948,1521.837,neu polar
100001,-29781.100,208264.364,1524.840,aus freier Stationierung
