1,-28194.484,206903.581,1774.654,
2,-28277.103,206991.276,1668.041,
3,-28334.088,206924.185,1690.552,
4,-28380.489,206889.746,1696.984,
5,-28308.875,206869.033,1754.378,
6,-28336.609,206824.268,1763.915,
7,-28325.500,206808.174,1770.453,
8,-28279.864,206820.100,1796.351,
9,-28242.240,206847.753,1815.828,
201,-29819.409,208233.174,1528.975,
202,-29802.345,208255.442,1525.827,
203,-29772.184,208297.945,1521.850,aus freier Stationierung
100001,-29781.103,208264.364,1524.845,Ausgangspunkt Polarberechnung
