PP1,-29781.098,208264.361,1524.826,"aus DA an 201.202 u 203 - allerdings andere Fz, 103 gab es nicht mehr, 104 verwachsen, dafür 105"
1,-28194.435,206903.655,1774.620,
2,-28277.262,206991.638,1667.687,
3,-28334.230,206925.040,1690.147,
4,-28380.623,206890.185,1696.680,
5,-28309.272,206869.582,1753.644,
6,-28336.541,206824.358,1763.849,
7,-28325.064,206808.068,1770.579,
8,-28279.891,206820.149,1796.219,
9,-28242.198,206847.809,1815.783,
201,-29819.415,208233.174,1528.961,
202,-29802.354,208255.444,1525.813,
203,-29772.190,208297.946,1521.838,
