1,-28194.451,206903.626,1774.609,polarpunkte mit PP aus frei Stat.
2,-28277.161,206991.413,1667.941,ohne ATR
3,-28334.118,206924.478,1690.396,
4,-28380.532,206889.906,1696.830,
5,-28309.006,206869.239,1754.067,
6,-28336.563,206824.319,1763.859,
7,-28325.086,206808.049,1770.607,ohne ATR
8,-28279.866,206820.127,1796.277,
9,-28242.222,206847.778,1815.788,
201,-29819.415,208233.174,1528.963,neu polar
202,-29802.353,208255.445,1525.811,neu polar
203,-29772.191,208297.945,1521.839,neu polar
100001,-29781.101,208264.362,1524.836,aus freier Stationierung
