1,-28194.458,206903.606,1774.651,
2,-28277.050,206991.251,1668.095,
3,-28334.063,206924.071,1690.564,
4,-28380.470,206889.676,1697.008,
5,-28308.794,206868.967,1754.447,
6,-28336.600,206824.269,1763.897,
7,-28325.491,206808.178,1770.436,
8,-28279.834,206820.112,1796.337,
9,-28242.245,206847.741,1815.812,
201,-29819.408,208233.174,1528.962,
202,-29802.346,208255.442,1525.815,
203,-29772.183,208297.944,1521.839,aus freier Stationierung nur 201
100001-neu,-29781.095,208264.363,1524.858,Ausgangspunkt Polarberechnung
