101,-20015.550,209589.400,2773.560,
102,-23183.150,208293.520,2205.690,Kreuz Gr
103,-21507.560,205599.050,2015.310,
104,-30376.280,203319.980,2346.050,
105,-33612.900,200408.320,2770.060,
1,-28194.458,206903.615,1774.669,
2,-28276.955,206991.122,1668.256,
3,-28334.021,206923.756,1690.741,
4,-28380.396,206889.527,1697.155,
5,-28308.609,206868.786,1754.759,
6,-28336.605,206824.274,1763.944,
7,-28325.503,206808.179,1770.474,
8,-28279.824,206820.115,1796.370,
9,-28242.236,206847.758,1815.835,
201,-29819.419,208233.178,1528.975,
202,-29802.355,208255.447,1525.829,
203,-29772.194,208297.950,1521.851,
100001,-29781.110,208264.370,1524.882,
