1,-28194.470,206903.599,1774.616,polarpunkte mit PP aus frei Stat.
2,-28277.145,206991.381,1667.934,
3,-28334.123,206924.387,1690.406,
4,-28380.536,206889.852,1696.852,
5,-28308.994,206869.165,1754.121,
6,-28336.591,206824.287,1763.874,
7,-28325.114,206808.011,1770.585,neu vom Forstweg aus
8,-28279.876,206820.105,1796.273,
9,-28242.231,206847.758,1815.772,
201,-29819.416,208233.174,1528.965,neu polar
202,-29802.353,208255.445,1525.811,neu polar
203,-29772.190,208297.945,1521.836,neu polar
100001,-29781.101,208264.363,1524.836,aus freier Stationierung
