1,-28194.448,206903.629,1774.627,polarpunkte mit PP aus frei Stat.
2,-28277.094,206991.341,1668.010,
3,-28334.082,206924.269,1690.474,
4,-28380.481,206889.802,1696.932,
5,-28308.878,206869.113,1754.265,
6,-28336.577,206824.304,1763.881,
7,-28325.471,206808.207,1770.419,
8,-28279.834,206820.141,1796.294,
9,-28242.213,206847.787,1815.799,
201,-29819.415,208233.174,1528.962,neu polar
202,-29802.354,208255.443,1525.813,neu polar
203,-29772.190,208297.948,1521.837,neu polar
100001,-29781.102,208264.363,1524.842,aus freier Stationierung
