1,-28194.462,206903.609,1774.645,
2,-28276.965,206991.150,1668.214,Kreuz Gr
3,-28334.018,206923.818,1690.676,
4,-28380.409,206889.555,1697.107,
5,-28308.637,206868.823,1754.691,
6,-28336.596,206824.283,1763.918,
7,-28325.479,206808.201,1770.446,
8,-28279.823,206820.116,1796.339,
9,-28242.230,206847.763,1815.816,
101,-20015.550,209589.400,2773.560,
102,-23183.150,208293.520,2205.690,
103,-21507.560,205599.050,2015.310,
104,-30376.280,203319.980,2346.050,
105,-33612.900,200408.320,2770.060,
201,-29819.418,208233.177,1528.975,
202,-29802.355,208255.446,1525.831,
203,-29772.195,208297.949,1521.852,
100001,-29781.110,208264.370,1524.882,
